size,min_val,max_val,time,resolution,stdev
9549,1,100000,209382.5,78.125,8870.501
9772,1,100000,210522.0,85.0,7648.067
9999,1,100000,211462.0,84.062,7699.019
10232,1,100000,205422.0,94.375,9057.195
10471,1,100000,213303.0,88.125,8339.765
10715,1,100000,215242.5,79.375,8573.356
10964,1,100000,210882.5,100.625,8534.973
11220,1,100000,215322.0,102.812,9841.97
11481,1,100000,218342.0,105.0,10493.997
11748,1,100000,218502.0,80.008,7576.969
12022,1,100000,220202.5,83.125,8843.161
12302,1,100000,221323.0,122.508,10893.425
12589,1,100000,224782.0,106.875,9698.212
12882,1,100000,219862.0,98.438,10767.06
13182,1,100000,224202.5,142.195,9902.153
13489,1,100000,225443.0,82.5,9131.19
13803,1,100000,227002.5,88.125,10024.946
14125,1,100000,228143.0,81.875,12316.852
14454,1,100000,229242.5,104.383,8903.634
14791,1,100000,232323.0,88.438,8571.166
15135,1,100000,234522.5,105.312,10058.4
15488,1,100000,233422.0,106.25,10280.554
15848,1,100000,234142.0,114.695,7881.286
16218,1,100000,236342.0,87.812,8736.545
16595,1,100000,238702.0,89.062,9142.346
16982,1,100000,240242.0,112.5,9676.302
17378,1,100000,241702.5,115.938,10346.996
17782,1,100000,244723.0,91.562,8303.617
18197,1,100000,247422.0,87.188,8644.131
18620,1,100000,246943.0,110.0,10508.555
19054,1,100000,249282.5,114.062,9513.639
19498,1,100000,244182.5,92.5,10391.063
19952,1,100000,243242.5,83.125,9025.819
20417,1,100000,250062.5,85.32,10467.287
20892,1,100000,250362.0,128.141,11249.877
21379,1,100000,251702.5,109.688,9437.77
21877,1,100000,254902.5,88.75,10878.084
22387,1,100000,265383.0,118.438,10328.624
22908,1,100000,259722.0,88.125,14053.422
23442,1,100000,272183.0,85.625,10877.555
23988,1,100000,265263.0,92.812,11313.375
24547,1,100000,286543.0,111.25,10251.479
25118,1,100000,288563.0,91.562,11035.532
25703,1,100000,290703.0,101.25,10266.945
26302,1,100000,302263.0,99.695,10867.36
26915,1,100000,299283.0,110.312,13132.273
27542,1,100000,295943.5,95.938,11035.658
28183,1,100000,302463.0,101.562,11104.098
28840,1,100000,309083.0,88.75,10692.827
29512,1,100000,311383.0,91.25,11320.853
30199,1,100000,312963.0,94.062,12135.27
30902,1,100000,319663.0,97.188,11307.01
31622,1,100000,317183.0,160.32,13482.618
32359,1,100000,322244.0,95.625,11823.29
33113,1,100000,328483.0,122.812,15543.576
33884,1,100000,328763.0,114.688,12129.381
34673,1,100000,335803.5,118.75,14903.381
35481,1,100000,341323.5,104.688,11817.318
36307,1,100000,343063.5,116.562,12042.686
37153,1,100000,353083.5,96.875,11028.417
38018,1,100000,361844.0,108.133,11587.07
38904,1,100000,367343.0,100.938,16848.383
39810,1,100000,378924.0,102.188,13610.902
40738,1,100000,386144.0,129.375,12950.599
41686,1,100000,385784.0,119.383,13506.456
42657,1,100000,395084.5,101.25,13001.416
43651,1,100000,399764.5,104.062,13635.206
44668,1,100000,400464.0,135.312,12881.734
45708,1,100000,408644.0,132.812,16645.902
46773,1,100000,412125.0,115.312,15900.889
47863,1,100000,414304.0,111.25,17850.191
48977,1,100000,422244.0,124.062,17365.743
50118,1,100000,415324.5,131.875,16874.668
51286,1,100000,432485.0,104.062,18864.043
52480,1,100000,435004.5,101.562,16419.72
53703,1,100000,453604.5,126.562,23673.408
54954,1,100000,457285.0,120.938,19046.254
56234,1,100000,448065.0,130.008,18137.103
57543,1,100000,453504.5,126.25,18757.449
58884,1,100000,440204.0,143.438,19106.624
60255,1,100000,474345.0,135.312,14474.661
61659,1,100000,468804.5,131.875,18800.334
63095,1,100000,469185.0,140.312,15876.985
64565,1,100000,487445.5,136.875,17823.065
66069,1,100000,490265.0,140.945,17843.375
67608,1,100000,503405.5,138.125,29554.887
69183,1,100000,486865.0,138.438,32241.007
70794,1,100000,516985.0,140.625,32591.709
72443,1,100000,512825.0,148.438,29357.311
74131,1,100000,528266.0,132.188,31383.444
75857,1,100000,534505.5,137.188,28930.054
77624,1,100000,535625.5,140.312,31941.671
79432,1,100000,576466.0,142.188,30075.726
81283,1,100000,569366.0,153.75,31918.658
83176,1,100000,569525.5,151.562,33754.591
85113,1,100000,586646.0,168.438,36242.235
87096,1,100000,567086.0,164.688,32803.07
89125,1,100000,601666.5,152.5,34747.938
91201,1,100000,630327.0,163.75,39551.719
93325,1,100000,609647.0,152.812,32164.519
95499,1,100000,640447.0,165.938,32220.142
97723,1,100000,644567.0,167.812,33986.749
