size,time,resolution
690.0,21640.5,82.5
691.0,21600.0,81.25
692.0,21640.0,83.75
693.0,21640.0,80.0
694.0,21680.0,80.0
695.0,21600.0,81.25
696.0,21620.5,83.75
697.0,21600.0,78.75
698.0,21680.0,80.0
699.0,21640.0,85.0
700.0,21680.5,80.03125
701.0,21640.0,81.25
702.0,21640.0,80.0
703.0,21660.5,82.5
704.0,21640.0,90.0
705.0,21640.0,82.5
706.0,21681.0,82.5
707.0,21720.0,82.5
708.0,21641.0,81.25
709.0,21640.0,80.0
710.0,21660.5,76.25
711.0,21660.5,77.5
712.0,21720.0,82.5
713.0,21641.0,76.25
714.0,21660.5,77.5
715.0,21720.0,78.75
716.0,21640.0,76.25
717.0,21640.5,82.5
718.0,21640.0,77.5
719.0,21720.0,80.0
720.0,21720.0,77.5
721.0,21720.0,75.0
722.0,21680.0,82.5
723.0,21680.0,75.0
724.0,21660.5,77.5
725.0,21680.0,75.0
726.0,21720.0,85.0
727.0,21720.0,77.5
728.0,21680.0,80.0
729.0,21680.0,83.75
730.0,21660.5,75.0
731.0,21680.0,78.75
732.0,21700.0,72.5
733.0,21720.0,80.0
734.0,21700.5,77.5
735.0,21680.5,80.0
736.0,21761.0,75.0
737.0,21721.0,75.0
738.0,21681.0,80.0
739.0,21700.5,78.75
740.0,21780.0,81.25
741.0,21740.5,80.0
742.0,21680.0,76.25
743.0,21720.0,77.5
744.0,21720.0,77.5
745.0,21721.0,81.25
746.0,21760.0,78.75
747.0,21720.0,75.0
748.0,21740.5,80.0
749.0,21720.0,78.75
750.0,21760.0,77.5
751.0,21720.5,76.25
752.0,21720.0,81.25
753.0,21721.0,80.0
754.0,21760.0,81.25
755.0,21800.0,81.25
756.0,21760.0,80.0
757.0,21760.0,80.0
758.0,21760.0,80.0
759.0,21760.0,78.75
760.0,21740.5,77.5
761.0,21760.5,187.5
762.0,21760.5,86.25
763.0,21800.0,81.25
764.0,21800.5,83.75
765.0,21780.5,78.75
766.0,21760.5,78.75
767.0,21800.0,78.75
768.0,21800.0,81.25
769.0,21760.0,76.25
770.0,21840.0,85.0
771.0,21800.5,78.75
772.0,21800.0,77.53125
773.0,21761.0,76.25
774.0,21840.0,78.75
775.0,21800.0,76.25
776.0,21820.0,75.0
777.0,21780.5,82.5
778.0,21820.0,82.5
779.0,21840.0,80.0
780.0,21800.0,85.0
781.0,21840.0,78.75
782.0,21800.0,81.25
783.0,21800.5,78.75
784.0,21820.0,76.25
785.0,21800.0,76.25
786.0,21800.0,81.25
787.0,21800.0,80.0
788.0,21800.0,78.75
789.0,21800.0,85.0
790.0,21761.0,80.0
791.0,21800.0,76.25
792.0,21820.5,81.25
793.0,21800.0,78.75
794.0,21820.0,77.5
795.0,21820.5,75.0
796.0,21800.0,77.5
797.0,21760.0,83.75
798.0,21800.5,78.75
799.0,21800.0,78.75
800.0,21840.0,77.5
801.0,21820.5,81.25
802.0,21840.0,77.5
803.0,21840.0,78.75
804.0,21800.0,77.5
805.0,21820.5,81.25
806.0,21840.0,76.25
807.0,21840.5,78.75
808.0,21840.0,82.5
809.0,21880.0,76.25
810.0,21860.0,82.5
811.0,21840.0,78.75
812.0,21860.5,86.25
813.0,21840.0,81.25
814.0,21841.0,78.75
815.0,21920.0,78.75
816.0,21880.0,75.0
817.0,21880.0,1052.53125
818.0,21860.0,78.75
819.0,21881.0,76.25
820.0,21840.0,80.0
821.0,21860.5,78.75
822.0,21940.5,77.5
823.0,21880.0,80.0
824.0,21841.0,80.0
825.0,21880.0,81.25
826.0,21940.5,86.25
827.0,21900.5,77.5
828.0,21881.0,78.75
829.0,21880.0,276.25
830.0,21920.0,78.75
831.0,21960.0,82.5
832.0,21920.0,82.5
833.0,21920.5,83.75
834.0,21880.0,88.75
835.0,21900.0,80.0
836.0,21881.0,76.25
837.0,21880.0,73.75
838.0,21940.0,78.75
839.0,21920.0,78.75
840.0,21960.0,81.25
841.0,21920.0,77.5
842.0,21920.0,82.5
843.0,21960.5,76.25
844.0,21920.0,77.5
845.0,21880.0,78.75
846.0,21880.0,78.75
847.0,21880.0,78.75
848.0,21920.0,77.5
849.0,21920.0,76.25
850.0,21920.0,72.5
851.0,21920.0,82.5
852.0,21920.0,77.5
853.0,21960.0,78.75
854.0,21960.0,81.25
855.0,21960.0,81.25
856.0,21921.0,83.75
857.0,22000.0,77.5
858.0,21940.0,81.28125
859.0,21960.0,93.75
860.0,21960.0,81.25
861.0,22000.0,83.75
862.0,21920.0,80.0
863.0,21960.0,76.28125
864.0,22001.0,78.75
865.0,21920.5,76.28125
866.0,21960.0,80.0
867.0,21920.0,78.78125
868.0,21960.0,77.5
869.0,21980.5,78.75
870.0,21980.5,76.25
871.0,21921.0,81.25
872.0,22000.0,77.5
873.0,21960.0,77.5
874.0,22000.0,81.25
875.0,21921.0,82.5
876.0,21960.0,77.5
877.0,22001.0,81.25
878.0,22000.0,77.5
879.0,21960.0,80.0
880.0,22040.0,76.25
881.0,21961.0,83.75
882.0,21961.0,77.5
883.0,21961.0,81.25
884.0,21960.0,83.75
885.0,22000.0,81.25
886.0,21960.5,83.75
887.0,22000.0,82.5
888.0,22040.0,80.0
889.0,21980.5,75.0
890.0,22040.0,81.25
891.0,22000.0,85.0
892.0,21960.5,81.25
893.0,22000.0,76.25
894.0,21980.5,75.0
895.0,22000.0,76.25
896.0,22001.0,78.75
897.0,22020.5,80.0
898.0,22040.0,77.5
899.0,22060.5,77.5
900.0,22040.0,80.0
901.0,22040.0,76.25
902.0,22000.0,81.25
903.0,22000.5,82.5
904.0,22020.5,78.75
905.0,22080.0,80.0
906.0,22000.0,78.75
907.0,22040.0,81.25
908.0,22080.5,80.0
909.0,22020.5,76.25
910.0,22020.5,75.03125
911.0,22040.0,80.0
912.0,22080.0,81.25
913.0,22040.0,75.0
914.0,22040.0,77.5
915.0,22041.0,80.0
916.0,22000.5,82.5
917.0,22080.0,87.5
918.0,22080.0,77.5
919.0,22080.5,77.5
920.0,22040.5,80.0
921.0,22041.0,75.0
922.0,22040.0,71.25
923.0,22080.0,75.0
924.0,22100.5,82.5
925.0,22040.0,77.5
926.0,22080.0,78.75
927.0,22081.0,80.0
928.0,22080.0,82.5
929.0,22100.0,76.25
930.0,22100.5,81.25
931.0,22060.0,78.75
932.0,22120.0,81.25
933.0,22121.0,78.75
934.0,22080.5,80.0
935.0,22040.0,82.5
936.0,22041.0,86.25
937.0,22120.0,85.0
938.0,22080.0,73.75
939.0,22080.0,83.75
940.0,22160.5,85.0
941.0,22060.5,77.5
942.0,22080.0,76.25
943.0,22080.0,78.75
944.0,22080.5,77.5
945.0,22120.0,82.5
946.0,22080.0,78.75
947.0,22080.0,75.0
948.0,22080.0,77.5
949.0,22160.0,75.0
950.0,22160.0,82.5
951.0,22120.0,78.75
952.0,22120.5,73.75
953.0,22120.0,81.25
954.0,22160.0,73.75
955.0,22120.0,70.0
956.0,22121.0,78.75
957.0,22120.0,77.5
958.0,22120.0,82.5
959.0,22121.0,82.5
960.0,22200.5,73.75
961.0,22081.0,80.0
962.0,22240.0,78.75
963.0,22160.0,86.25
964.0,22120.0,75.0
965.0,22081.0,77.5
966.0,22120.5,80.0
967.0,22120.0,83.75
968.0,22200.0,71.25
969.0,22200.0,78.75
970.0,22160.0,80.0
971.0,22120.5,81.25
972.0,22120.0,77.5
973.0,22120.0,81.25
974.0,22160.0,81.25
975.0,22140.5,90.0
976.0,22160.0,77.5
977.0,22180.5,77.5
978.0,22200.0,77.5
979.0,22161.0,270.0
980.0,22160.0,73.75
981.0,22121.0,82.5
982.0,22200.0,80.0
983.0,22140.5,80.0
984.0,22240.0,81.25
985.0,22201.0,81.25
986.0,22160.0,81.25
987.0,22160.0,86.25
988.0,22161.0,81.25
989.0,22180.0,82.5
990.0,22180.5,82.5
991.0,22200.0,81.25
992.0,22160.0,81.25
993.0,22260.5,81.25
994.0,22200.0,75.0
995.0,22180.0,81.25
996.0,22200.5,135.0
997.0,22200.0,82.5
998.0,22160.0,80.0
999.0,22160.0,78.75
1000.0,22200.0,80.0
1001.0,22200.5,81.25
1002.0,22161.0,77.5
1003.0,22200.0,77.5
1004.0,22161.0,80.0
1005.0,22300.5,85.0
1006.0,22200.0,82.5
1007.0,22200.0,81.25
1008.0,22220.5,78.75
1009.0,22200.5,83.75
1010.0,22260.5,77.5
1011.0,22240.0,76.25
1012.0,22200.0,80.0
1013.0,22280.5,80.0
1014.0,22240.0,76.25
1015.0,22240.0,82.5
1016.0,22201.0,73.75
1017.0,22200.5,82.5
1018.0,22240.5,78.75
1019.0,22241.0,90.03125
1020.0,22260.0,77.5
1021.0,22220.5,78.75
1022.0,22240.0,73.75
1023.0,22260.5,78.75
1024.0,22280.0,78.75
1025.0,22240.0,80.0
1026.0,22240.5,81.25
1027.0,22240.0,78.75
1028.0,22240.0,77.5
1029.0,22260.0,77.5
1030.0,22240.0,77.5
1031.0,22220.5,75.0
1032.0,22241.0,77.5
1033.0,22260.5,78.75
1034.0,22260.5,77.5
1035.0,22320.0,75.0
1036.0,22240.0,82.5
1037.0,22320.0,75.0
1038.0,22240.0,77.5
1039.0,22280.0,80.0
1040.0,22241.0,78.75
1041.0,22280.0,78.75
1042.0,22280.0,80.0
1043.0,22240.5,77.5
1044.0,22280.0,80.0
1045.0,22280.5,81.25
1046.0,22280.0,82.5
1047.0,22280.0,78.75
1048.0,22300.5,81.25
1049.0,22280.0,77.53125
1050.0,22280.0,77.5
1051.0,22281.0,81.25
1052.0,22280.5,80.0
1053.0,22280.0,82.5
1054.0,22320.0,76.25
1055.0,22300.0,85.0
1056.0,22281.0,82.5
1057.0,22280.0,80.0
1058.0,22320.0,81.25
1059.0,22281.0,78.75
1060.0,22320.5,77.5
1061.0,22320.0,82.5
1062.0,22320.0,81.25
1063.0,22320.0,82.5
1064.0,22361.0,73.75
1065.0,22320.0,78.75
1066.0,22320.0,78.75
1067.0,22400.0,78.75
