size,min_val,max_val,time,resolution,stdev
2341,1,100000,181782.0,160.0,7847.642
2350,1,100000,183122.0,84.375,58319.359
2359,1,100000,181702.0,76.25,10856.225
2368,1,100000,181442.0,77.5,9518.168
2377,1,100000,181382.0,77.5,7520.252
2386,1,100000,182762.0,76.25,7901.814
2395,1,100000,180102.0,75.016,9388.282
2404,1,100000,183462.0,74.375,7925.179
2413,1,100000,181741.5,76.875,11242.79
2422,1,100000,180561.5,78.75,8096.968
2431,1,100000,183002.0,79.375,9889.056
2440,1,100000,179922.0,78.125,10603.621
2449,1,100000,180602.0,76.25,8346.231
2458,1,100000,183002.0,80.625,8929.509
2467,1,100000,181622.0,76.875,9053.21
2476,1,100000,183002.0,77.5,7166.267
2485,1,100000,182262.0,183.125,9510.559
2494,1,100000,183862.0,72.5,11787.992
2503,1,100000,184081.5,78.125,6703.994
2512,1,100000,183262.0,81.25,9911.82
2521,1,100000,181502.0,142.5,9711.912
2530,1,100000,182742.0,84.375,8653.986
2539,1,100000,184342.0,75.625,9908.598
2548,1,100000,183362.0,79.375,10070.944
2557,1,100000,178422.0,87.5,9118.263
2566,1,100000,181521.5,79.375,9884.664
2575,1,100000,185402.0,78.75,9473.227
2584,1,100000,183802.0,80.0,7629.877
2593,1,100000,184482.0,78.75,11652.765
2602,1,100000,182721.5,75.0,9284.218
2611,1,100000,178841.5,76.25,9106.424
2620,1,100000,179522.0,72.5,8745.907
2629,1,100000,181441.5,80.625,9283.419
2638,1,100000,178122.0,80.625,13384.695
2647,1,100000,178121.5,75.0,10727.11
2656,1,100000,177961.5,82.5,9431.83
2665,1,100000,177702.0,77.5,11663.799
2674,1,100000,178762.0,76.266,10361.686
2683,1,100000,185382.0,77.516,9981.208
2692,1,100000,179222.0,78.75,11314.91
2701,1,100000,185602.0,78.125,10891.228
2710,1,100000,184962.0,78.125,10582.821
2719,1,100000,182562.0,86.875,8793.465
2728,1,100000,185082.0,78.75,12924.236
2737,1,100000,183482.0,77.5,9851.812
2746,1,100000,182221.5,79.375,10022.649
2755,1,100000,184762.0,78.75,9560.144
2764,1,100000,181942.0,78.125,9103.359
2773,1,100000,183541.5,77.5,66756.763
2782,1,100000,183822.0,74.375,7235.906
2791,1,100000,184722.0,78.75,8750.508
2800,1,100000,187421.5,84.391,7249.605
2809,1,100000,183121.5,78.125,8918.916
2818,1,100000,184342.0,78.141,9726.389
2827,1,100000,183562.0,76.875,8291.514
2836,1,100000,183482.0,78.75,8881.77
2845,1,100000,183302.0,80.016,8535.962
2854,1,100000,183522.0,76.875,12008.732
2863,1,100000,183582.0,77.5,10197.622
2872,1,100000,185042.0,75.0,9136.115
2881,1,100000,185262.0,81.25,10156.256
2890,1,100000,185882.0,77.516,10746.465
2899,1,100000,185502.0,75.0,59257.957
2908,1,100000,183522.0,83.125,10729.881
2917,1,100000,183902.0,76.875,9670.9
2926,1,100000,184102.0,80.0,10699.479
2935,1,100000,185262.0,85.0,7966.454
2944,1,100000,184841.5,80.625,10094.797
2953,1,100000,186382.0,81.875,7254.704
2962,1,100000,185702.0,82.5,10143.214
2971,1,100000,187522.0,75.0,9677.306
2980,1,100000,183542.0,78.125,8175.033
2989,1,100000,184942.0,78.75,8308.872
2998,1,100000,185262.0,81.875,10471.237
3007,1,100000,185562.0,79.375,10485.487
3016,1,100000,180522.0,77.5,9672.579
3025,1,100000,179362.0,75.625,8321.101
3034,1,100000,184442.0,76.25,10592.638
3043,1,100000,184282.0,76.25,10504.595
3052,1,100000,183702.0,80.625,8785.408
3061,1,100000,180702.0,75.625,9233.179
3070,1,100000,187961.5,188.75,9680.466
3079,1,100000,186662.0,85.625,116970.706
3088,1,100000,184701.5,78.75,11108.235
3097,1,100000,185242.0,83.125,9254.824
3106,1,100000,185262.0,78.75,7462.686
3115,1,100000,184802.0,78.75,8677.72
3124,1,100000,186902.0,86.875,9937.434
3133,1,100000,185042.0,80.0,9172.091
3142,1,100000,185642.0,81.25,57944.146
3151,1,100000,187602.0,78.125,9675.956
3160,1,100000,185062.0,72.5,11257.15
3169,1,100000,185322.0,80.625,8704.515
3178,1,100000,185262.0,80.625,8542.357
3187,1,100000,180462.0,76.875,9491.013
3196,1,100000,184642.0,77.5,10203.396
3205,1,100000,182422.0,83.125,41558.365
3214,1,100000,187522.0,75.625,9170.229
3223,1,100000,186941.5,80.0,8222.477
3232,1,100000,185862.0,76.875,11733.397
3241,1,100000,181262.0,80.0,10437.348
3250,1,100000,185802.0,78.125,7733.705
3259,1,100000,182542.0,78.125,60658.621
3268,1,100000,180582.0,76.25,10763.313
3277,1,100000,180842.0,78.75,10553.471
3286,1,100000,181021.5,76.875,12356.29
3295,1,100000,180462.0,77.5,9050.916
3304,1,100000,181302.0,76.875,11022.72
3313,1,100000,180582.0,78.125,8212.758
3322,1,100000,181061.5,78.125,11560.807
3331,1,100000,187982.0,79.375,9148.444
3340,1,100000,188362.0,84.375,8568.005
3349,1,100000,186082.0,78.125,10067.835
3358,1,100000,188241.5,88.125,9199.565
3367,1,100000,188122.0,85.625,10090.752
3376,1,100000,187382.0,76.875,9552.818
3385,1,100000,187762.0,75.0,10243.105
3394,1,100000,184242.0,78.75,9964.063
3403,1,100000,187782.0,78.125,8396.527
3412,1,100000,188282.0,78.75,10849.395
3421,1,100000,187562.0,76.25,7343.032
3430,1,100000,186942.0,76.875,9503.644
3439,1,100000,181442.0,76.25,9865.252
3448,1,100000,181302.0,81.25,7479.972
3457,1,100000,182802.0,75.625,9382.381
3466,1,100000,188202.0,78.75,8900.883
3475,1,100000,189162.0,76.875,10235.373
3484,1,100000,186322.0,76.875,9074.006
3493,1,100000,188222.0,78.75,8938.633
3502,1,100000,186182.0,81.25,87904.395
3511,1,100000,187502.0,80.625,9866.577
3520,1,100000,187262.0,76.875,8316.681
3529,1,100000,188061.5,76.875,8602.187
3538,1,100000,188222.0,73.125,11036.106
3547,1,100000,186782.0,76.875,8766.948
3556,1,100000,187281.5,81.25,10427.473
3565,1,100000,188802.0,80.625,9545.352
3574,1,100000,182362.0,75.0,9781.251
3583,1,100000,182242.0,75.625,28565.114
