size,time,resolution
1052,3720.0,160.65625
1053,3720.0,77.5
1054,3720.0,83.765625
1055,3740.5,73.75
1056,3760.0,81.875
1057,3760.0,83.125
1058,3760.0,76.265625
1059,3760.0,76.25
1060,3760.0,77.5
1061,3760.0,77.5
1062,3760.0,78.125
1063,3760.0,78.125
1064,3760.0,78.125
1065,3760.0,78.125
1066,3760.0,90.625
1067,3760.0,75.625
1068,3760.0,73.75
1069,3760.0,81.875
1070,3760.0,76.875
1071,3760.0,73.75
1072,3760.0,77.5
1073,3760.0,75.0
1074,3760.0,76.25
1075,3760.0,80.625
1076,3760.5,76.875
1077,3800.0,78.75
1078,3800.0,76.890625
1079,3800.0,75.625
1080,3800.0,75.0
1081,3800.0,77.5
1082,3800.0,78.75
1083,3800.0,72.5
1084,3800.0,76.25
1085,3800.0,76.875
1086,3800.0,80.0
1087,3800.0,76.25
1088,3800.0,76.875
1089,3800.0,76.25
1090,3800.0,79.375
1091,3800.0,78.75
1092,3800.0,78.125
1093,3800.0,76.875
1094,3800.0,78.75
1095,3800.0,77.5
1096,3800.0,74.375
1097,3820.5,78.125
1098,3800.0,83.75
1099,3820.0,84.375
1100,3820.0,79.375
1101,3840.0,83.125
1102,3840.0,78.75
1103,3840.0,83.125
1104,3840.0,76.875
1105,3840.0,75.625
1106,3840.0,75.625
1107,3840.0,74.375
1108,3840.0,77.5
1109,3840.0,77.5
1110,3840.0,75.625
1111,3840.0,76.875
1112,3840.0,80.0
1113,3840.0,80.625
1114,3840.0,75.625
1115,3840.0,78.125
1116,3840.0,78.125
1117,3840.0,78.75
1118,3840.0,76.25
1119,3840.0,77.5
1120,3840.0,81.25
1121,3841.0,82.5
1122,3880.0,77.5
1123,3860.5,85.0
1124,3880.0,78.125
1125,3880.0,76.890625
1126,3880.0,76.875
1127,3880.0,78.765625
1128,3880.0,79.375
1129,3880.0,81.875
1130,3880.0,76.875
1131,3880.0,77.5
1132,3880.0,76.25
1133,3880.0,79.375
1134,3880.0,79.375
1135,3880.0,75.625
1136,3880.0,76.25
1137,3880.0,78.125
1138,3880.0,78.125
1139,3880.0,75.0
1140,3880.0,80.0
1141,3880.0,78.75
1142,3880.0,78.125
1143,3920.0,79.375
1144,3920.0,75.0
1145,3920.0,74.375
1146,3920.0,78.125
1147,3920.0,79.390625
1148,3920.0,76.25
1149,3920.0,78.125
1150,3920.0,80.0
1151,3880.0,80.625
1152,3920.0,78.75
1153,3920.0,83.125
1154,3920.0,77.5
1155,3920.0,151.890625
1156,3920.0,78.75
1157,3920.0,76.875
1158,3920.0,81.875
1159,3920.0,76.25
1160,3920.0,85.0
1161,3920.0,75.625
1162,3920.0,78.125
1163,3920.0,78.75
1164,3920.0,75.0
1165,3920.0,76.25
1166,3920.0,76.875
1167,3920.0,76.25
1168,3920.0,77.5
1169,3920.0,78.125
1170,3920.0,79.375
1171,3920.0,83.75
1172,3960.0,93.75
1173,3960.0,81.875
1174,3960.0,85.0
1175,3960.0,80.625
1176,3960.0,76.25
1177,3960.0,73.75
1178,3960.0,78.75
1179,3960.0,76.875
1180,3960.0,81.25
1181,3960.0,80.0
1182,3960.0,77.5
1183,3960.0,76.875
1184,3960.0,80.625
1185,3960.0,88.125
1186,3960.0,80.0
1187,3960.0,78.75
1188,3960.0,76.875
1189,3960.0,76.25
1190,3960.0,80.625
1191,3960.0,78.75
1192,3960.0,80.0
1193,3961.0,85.625
1194,3960.0,76.25
1195,3960.0,75.0
1196,4000.0,78.125
1197,4000.0,80.625
1198,4000.0,77.5
1199,4000.0,76.875
1200,4000.0,127.5
1201,4000.0,78.140625
1202,4000.0,80.0
1203,3960.0,76.875
1204,3960.0,76.875
1205,3960.0,85.625
1206,4000.0,75.0
1207,4000.0,76.875
1208,4000.0,80.0
1209,3960.5,86.25
1210,4000.0,77.5
1211,4000.0,76.875
1212,4000.0,78.765625
1213,4000.0,73.75
1214,4000.0,78.125
1215,4000.0,80.0
1216,4000.0,77.5
1217,4000.0,79.375
1218,4000.0,78.140625
1219,4000.0,83.125
1220,4000.0,89.375
1221,4000.0,76.875
1222,4000.0,85.0
1223,4000.0,77.5
1224,4000.0,78.125
1225,4000.0,79.375
1226,4000.0,76.875
1227,4040.0,76.25
1228,4020.5,76.25
1229,4040.0,78.125
1230,4040.0,80.625
1231,4000.0,76.875
1232,4040.0,78.75
1233,4040.0,80.625
1234,4040.0,78.125
1235,4040.0,78.125
1236,4040.0,85.0
1237,4040.0,81.25
1238,4040.0,80.625
1239,4040.0,77.5
1240,4040.0,77.5
1241,4040.0,76.875
