size,time
261.0,5.1420414820313454e-05
262.0,5.222042091190815e-05
263.0,5.2061048336327076e-05
264.0,5.264091305434704e-05
265.0,5.279993638396263e-05
266.0,5.3260475397109985e-05
267.0,5.382008384913206e-05
268.0,5.4200529120862484e-05
269.0,5.448050796985626e-05
270.0,5.524104926735163e-05
271.0,5.518097896128893e-05
272.0,5.544046871364117e-05
273.0,5.6299963034689426e-05
274.0,5.642056930810213e-05
275.0,5.7780533097684383e-05
276.0,5.780067294836044e-05
277.0,5.753990262746811e-05
278.0,5.956052336841822e-05
279.0,5.844049155712128e-05
280.0,5.840091034770012e-05
281.0,5.880044773221016e-05
282.0,6.122107151895761e-05
283.0,6.02800864726305e-05
284.0,6.0020945966243744e-05
285.0,6.212049629539251e-05
286.0,6.092002149671316e-05
287.0,6.264098919928074e-05
288.0,6.292038597166538e-05
289.0,6.192107684910297e-05
290.0,6.244040559977293e-05
291.0,6.318057421594858e-05
292.0,6.33609015494585e-05
293.0,6.407988257706165e-05
294.0,6.52405433356762e-05
295.0,6.682099774479866e-05
296.0,6.596115417778492e-05
297.0,6.620062049478292e-05
298.0,6.538094021379948e-05
299.0,6.59009674564004e-05
300.0,6.738048978149891e-05
301.0,6.688048597425222e-05
302.0,6.792100612074137e-05
303.0,6.940041203051805e-05
304.0,6.802042480558157e-05
305.0,6.832100916653872e-05
306.0,6.974057760089636e-05
307.0,6.908096838742495e-05
308.0,6.963999476283789e-05
309.0,6.988097447901964e-05
310.0,6.974104326218367e-05
311.0,7.064058445394039e-05
312.0,7.084046956151724e-05
313.0,7.096107583492994e-05
314.0,7.186108268797398e-05
315.0,7.420044858008623e-05
316.0,7.412000559270382e-05
317.0,7.326097693294287e-05
318.0,7.380044553428888e-05
319.0,7.448089309036732e-05
320.0,7.50409672036767e-05
321.0,7.526099216192961e-05
322.0,7.622106932103634e-05
323.0,7.620116230100393e-05
324.0,7.778103463351727e-05
325.0,7.8980578109622e-05
326.0,7.738044951111078e-05
327.0,7.776101119816303e-05
328.0,7.780094165354967e-05
329.0,7.826043292880058e-05
330.0,7.862050551921129e-05
331.0,7.948046550154686e-05
332.0,8.028105366975069e-05
333.0,7.990095764398575e-05
334.0,8.14005034044385e-05
335.0,8.08205222710967e-05
336.0,8.162087760865688e-05
337.0,8.120096754282713e-05
338.0,8.218095172196627e-05
339.0,8.250109385699034e-05
340.0,8.246046490967274e-05
341.0,8.402112871408463e-05
342.0,8.408061694353819e-05
343.0,8.626107592135668e-05
344.0,8.782115764915943e-05
345.0,8.562102448195219e-05
346.0,8.68610804900527e-05
347.0,8.812092710286379e-05
348.0,8.66609625518322e-05
349.0,8.810113649815321e-05
350.0,8.742103818804026e-05
351.0,8.986052125692368e-05
352.0,8.906086441129446e-05
353.0,8.950091432780027e-05
354.0,8.970091585069895e-05
355.0,9.224109817296267e-05
356.0,9.108043741434813e-05
357.0,9.250105358660221e-05
358.0,9.258103091269732e-05
359.0,9.350106120109558e-05
360.0,9.332096669822931e-05
361.0,9.592087008059025e-05
362.0,9.548093657940626e-05
363.0,9.346101433038712e-05
364.0,9.412097278982401e-05
365.0,9.644101373851299e-05
366.0,9.57209849730134e-05
367.0,9.692099411040545e-05
368.0,9.75609291344881e-05
369.0,9.970099199563265e-05
370.0,9.708094876259565e-05
371.0,9.798095561563969e-05
372.0,0.00010028097312897444
373.0,9.948096703737974e-05
374.0,9.994115680456161e-05
375.0,0.00010044092778116465
376.0,0.00010028108954429626
377.0,0.00010158098302781582
378.0,0.00010116107296198606
379.0,0.000103760976344347
380.0,0.00010278110858052969
381.0,0.00010356109123677015
382.0,0.0001029410632327199
383.0,0.0001035409513860941
384.0,0.00010398100130259991
385.0,0.00010610104072839022
386.0,0.00010794145055115223
387.0,0.00010686099994927645
388.0,0.00010764086619019508
389.0,0.00010764098260551691
390.0,0.00010852108243852854
391.0,0.00011006102431565523
392.0,0.00010920094791799784
393.0,0.0001091614831238985
394.0,0.00011146150063723326
395.0,0.00011158094275742769
396.0,0.00011168094351887703
397.0,0.000110780936665833
398.0,0.00011212099343538284
399.0,0.00011238094884902239
400.0,0.00011304102372378111
401.0,0.00011342111974954605
402.0,0.000112661044113338
403.0,0.00011264102067798376
404.0,0.00011344091035425663
405.0,0.0001151614123955369
406.0,0.0001143414992839098
407.0,0.00011552090290933847
408.0,0.00011738156899809837
409.0,0.00011728156823664904
410.0,0.00011666095815598965
411.0,0.00011738156899809837
412.0,0.00011870102025568485
413.0,0.00011846085544675589
414.0,0.00011890113819390535
415.0,0.00012038100976496935
416.0,0.00012068147771060467
417.0,0.00012248195707798004
418.0,0.00012094143312424421
419.0,0.0001217816025018692
420.0,0.00012346100993454456
421.0,0.00012612203136086464
422.0,0.00012410094495862722
423.0,0.0001238009426742792
424.0,0.00012520153541117907
425.0,0.0001253209775313735
426.0,0.00012602098286151886
427.0,0.00012652110308408737
428.0,0.00012682203669101
429.0,0.00012794160284101963
430.0,0.00012980098836123943
431.0,0.00012782192789018154
432.0,0.0001297610579058528
433.0,0.0001300416188314557
434.0,0.0001301608281210065
435.0,0.0001309410436078906
436.0,0.00013458100147545338
437.0,0.00013176153879612684
438.0,0.00013420148752629757
439.0,0.00013696146197617054
440.0,0.0001360808964818716
441.0,0.00013396202120929956
442.0,0.00013592105824500322
443.0,0.00013790198136121035
444.0,0.0001359015004709363
445.0,0.00013942155055701733
446.0,0.00014068104792386293
447.0,0.00014058139640837908
448.0,0.00014268094673752785
449.0,0.00014330109115689993
450.0,0.0001419818727299571
451.0,0.00014126102905720472
452.0,0.00014012155588716269
453.0,0.00014200096484273672
454.0,0.00014344090595841408
455.0,0.0001467214897274971
456.0,0.00014516140799969435
457.0,0.00014492147602140903
458.0,0.0001456815516576171
459.0,0.00014924095012247562
460.0,0.00014780147466808558
461.0,0.00015142152551561594
462.0,0.00014822185039520264
463.0,0.00014916143845766783
464.0,0.00015032151713967323
465.0,0.00015142105985432863
466.0,0.00015018158592283726
467.0,0.00015156087465584278
468.0,0.000152682070620358
469.0,0.00015352200716733932
470.0,0.0001527620479464531
471.0,0.0001552616013213992
472.0,0.00015582097694277763
473.0,0.00015242164954543114
474.0,0.00015620212070643902
475.0,0.0001568408915773034
476.0,0.0001576209906488657
477.0,0.00016048201359808445
478.0,0.00015556160360574722
479.0,0.00015786103904247284
480.0,0.00015758140943944454
481.0,0.0001583419507369399
482.0,0.00015794194769114256
483.0,0.00015918153803795576
484.0,0.00015916163101792336
485.0,0.00015972147230058908
486.0,0.00016066152602434158
487.0,0.00016128155402839184
